ResponseId,random_id,used_tt,distract,entertain,promote,information,interact,w_tweeted,w_liked,w_rt,w_commented,w_messaged,w_visited,w_trending,w_scrolled,interact_other,facebook,instagram,tiktok,snapchat,whatsapp,wechat,another,no_other,positive,negative,sad,afraid,joyful,angry,bored,lonely,disgusted,anxious,excited,tired,pos_aff,neg_aff,interacted,in_person,quality_interaction,sense_community,respected_community,democratic_warm,republican_warm,polarization.x,news_suspicion.x,trust_gvt.x,where,working_hours,day,time,StartDate,attention_check,day_0,days_elapsed,obs,extraversion,agreeableness,conscientiousness,neuroticism,openness,sociability,assertiveness,energy_level,compassion,respectfulness,trust,organization,productiveness,responsibility,anxiety,depression,emotional_vol,int_curiosity,aes_sensivity,creative_ima,sats_w_life,self_esteem,emotional_loneliness,social_loneliness,loneliness,boredom,impulsivity,tt_smartphone,tt_laptop,tt_desktop,tt_tablet,tt_other,tt_weekly,tt_daily,online_community,sense_community_online,psych_sense_community,entertainment,interacting,promoting,info_seeking,coping,news_consump,follow_rlpeople,follow_humour,follow_news,follow_influencers,follow_business,follow_famous,follow_politician,follow_blog,follow_incommon,follow_interesting,SM_addiction,political_id,pol_engagement,dem_feelings,rep_feelings,polarization.y,con_ideology,lib_ideology,trust_gvt.y,married_dem,married_rep,news_consumption,news_socialmedia,news_newspaper,news_searchengine,news_aggregator,news_cabletv,news_suspicion.y,shared_regret,age,Nationality,Sex,ethnicity
R_1LG7ilCBeadA5bu,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,0,1,0,1,1,0,2,0,0,1,0.25,1,1,0,NA,3,84,30,54,3,3,Home,0,2021-03-31,12H 32M 57S,2021-03-31T12:28:59Z,1,2021-03-31,0,1,2.5,4.33333333333333,3.66666666666667,3.83333333333333,4.25,2.5,1.75,3.25,4.75,4.5,3.75,3.75,2.75,4.5,4.25,3.75,3.5,4.25,4.75,3.75,22,30,20,13,33,28,10,TRUE,TRUE,FALSE,FALSE,NA,5,3,1,40,52,11,5,0,3,13,4,2,1,0,0,0,1,1,0,0,1,16,-3,4,89,0,89,17,39,2,2,-2,3,3,1,1,0,1,6,4,24,Serbia,Female,White
R_1qWk8rKXVFlE543,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,2,1,0,1,1,2,2,1,1,4,0.5,1,0,NA,NA,3,NA,33,47,14,4,1,Home,0,2021-03-31,13H 51M 31S,2021-03-31T13:49:24Z,1,2021-03-31,0,1,1.91666666666667,2.25,2.25,4.08333333333333,4.75,1.5,2,2.25,2.25,3,1.5,2.5,2.25,2,4.5,4.25,3.5,4.5,5,4.75,11,22,25,24,49,35,32,FALSE,TRUE,FALSE,FALSE,NA,4,1,0,21,19,7,6,3,9,8,4,0,1,1,1,1,2,1,1,2,1,9,0,2,47,74,27,36,26,1,-1,1,4,3,1,2,2,2,14,0,21,United States,Male,Mixed
R_330Zm1MjXp5nzOl,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,1,1,3,1,1,0,1,2,0.5,0.25,0,NA,NA,1,1,91,0,91,2,3,Home,0,2021-03-31,14H 1M 47S,2021-03-31T14:00:23Z,1,2021-03-31,0,1,1.75,4,3,2.91666666666667,2.41666666666667,1.5,2,1.75,4,4.5,3.5,3.25,2.75,3,3.5,3.5,1.75,2,1.25,4,27,23,24,19,43,33,27,TRUE,TRUE,FALSE,FALSE,NA,6,1,0,41,55,6,0,0,3,9,0,1,0,0,0,0,0,0,0,1,1,3,-2,2,84,0,84,14,45,2,1,0,3,2,1,0,2,1,5,0,22,United States,Male,Asian
R_OCNpDZXkKFSIl7b,4,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,2,0,2,0,0,0,0,0,1.5,0,0,NA,NA,NA,3,91,10,81,2,2,Home,1,2021-03-31,14H 2M 58S,2021-03-31T14:00:21Z,1,2021-03-31,0,1,4.08333333333333,3.66666666666667,4.08333333333333,1.91666666666667,3.91666666666667,4.25,3.75,4.25,3.5,3.5,4,4.25,4,4,2.5,1.75,1.5,4,3.75,4,27,35,9,14,23,14,-2,TRUE,FALSE,FALSE,FALSE,NA,4,2,0,32,37,9,6,0,8,9,3,3,1,0,0,0,0,0,0,1,1,8,-2,3,85,15,70,16,39,2,1,-2,3,3,1,2,0,0,12,3,20,Dominican Republic,Female,White
R_3PzSZOI11pXcjbr,4,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,NA,NA,NA,3,90,10,80,2,2,Home,1,2021-03-31,14H 4M 51S,2021-03-31T14:03:06Z,1,2021-03-31,0,2,4.08333333333333,3.66666666666667,4.08333333333333,1.91666666666667,3.91666666666667,4.25,3.75,4.25,3.5,3.5,4,4.25,4,4,2.5,1.75,1.5,4,3.75,4,27,35,9,14,23,14,-2,TRUE,FALSE,FALSE,FALSE,NA,4,2,0,32,37,9,6,0,8,9,3,3,1,0,0,0,0,0,0,1,1,8,-2,3,85,15,70,16,39,2,1,-2,3,3,1,2,0,0,12,3,20,Dominican Republic,Female,White
R_A0pWDzbGxFyg3rr,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,0,0,2,0,0,0,0,1,1,0,2,0.25,1,1,2,3,3,73,30,43,3,3,Home,0,2021-03-31,14H 10M 20S,2021-03-31T14:07:08Z,1,2021-03-31,0,2,2.5,4.33333333333333,3.66666666666667,3.83333333333333,4.25,2.5,1.75,3.25,4.75,4.5,3.75,3.75,2.75,4.5,4.25,3.75,3.5,4.25,4.75,3.75,22,30,20,13,33,28,10,TRUE,TRUE,FALSE,FALSE,NA,5,3,1,40,52,11,5,0,3,13,4,2,1,0,0,0,1,1,0,0,1,16,-3,4,89,0,89,17,39,2,2,-2,3,3,1,1,0,1,6,4,24,Serbia,Female,White
R_1LclO7LiqPFhNmk,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,2,1,2,0,2,2,3,1,0,1,1,0.5,1.75,0,NA,NA,NA,NA,36,47,11,4,2,Home,0,2021-03-31,14H 12M 9S,2021-03-31T14:10:39Z,1,2021-03-31,0,2,1.91666666666667,2.25,2.25,4.08333333333333,4.75,1.5,2,2.25,2.25,3,1.5,2.5,2.25,2,4.5,4.25,3.5,4.5,5,4.75,11,22,25,24,49,35,32,FALSE,TRUE,FALSE,FALSE,NA,4,1,0,21,19,7,6,3,9,8,4,0,1,1,1,1,2,1,1,2,1,9,0,2,47,74,27,36,26,1,-1,1,4,3,1,2,2,2,14,0,21,United States,Male,Mixed
R_2CJpVMx62fRcPvb,6,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,1,1,0,0,0,1,0,0.25,0,NA,NA,3,3,61,62,1,4,3,Home,1,2021-03-31,14H 21M 6S,2021-03-31T14:18:08Z,1,2021-03-31,0,1,3.08333333333333,3.5,3.25,2.58333333333333,3.91666666666667,2.75,3.5,3,3.25,3.75,3.5,3,3.25,3.5,2.5,3,2.25,4,3.75,4,15,27,21,20,41,26,12,TRUE,FALSE,TRUE,FALSE,NA,4,1,0,30,38,9,8,0,9,9,3,0,1,1,0,1,0,0,0,1,1,1,0,0,35,67,32,26,32,2,0,0,3,2,2,3,2,1,3,3,51,United Kingdom,Male,Asian
R_Tw4ObTNe7xlGp5T,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,1,0,2,1,0,0,0,1,1.5,0,0,NA,NA,1,1,93,0,93,2,3,Home,0,2021-03-31,16H 4M 28S,2021-03-31T16:01:24Z,1,2021-03-31,0,2,1.75,4,3,2.91666666666667,2.41666666666667,1.5,2,1.75,4,4.5,3.5,3.25,2.75,3,3.5,3.5,1.75,2,1.25,4,27,23,24,19,43,33,27,TRUE,TRUE,FALSE,FALSE,NA,6,1,0,41,55,6,0,0,3,9,0,1,0,0,0,0,0,0,0,1,1,3,-2,2,84,0,84,14,45,2,1,0,3,2,1,0,2,1,5,0,22,United States,Male,Asian
R_3ha5DbdEnDGktaw,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,NA,NA,3,3,90,4,86,2,2,Home,0,2021-03-31,16H 6M 10S,2021-03-31T16:03:12Z,1,2021-03-31,0,3,4.08333333333333,3.66666666666667,4.08333333333333,1.91666666666667,3.91666666666667,4.25,3.75,4.25,3.5,3.5,4,4.25,4,4,2.5,1.75,1.5,4,3.75,4,27,35,9,14,23,14,-2,TRUE,FALSE,FALSE,FALSE,NA,4,2,0,32,37,9,6,0,8,9,3,3,1,0,0,0,0,0,0,1,1,8,-2,3,85,15,70,16,39,2,1,-2,3,3,1,2,0,0,12,3,20,Dominican Republic,Female,White
